{SimaPro 8.0.4.30}
{methods}
{Date: 09.06.2015}
{Time: 17:29:18}
{Project: Methods}
{CSV Format version: 7.0.0}
{CSV separator: Semicolon}
{Decimal separator: .}
{Date separator: .}
{Short date format: dd.MM.yyyy}
{Selection: Selection (1)}
{Related objects (system descriptions, substances, units, etc.): Yes}
{Include sub product stages and processes: No}
{Open library: 'Methods'}

Method

Name
EcodEX - 15/08/2013 - 5 indicators w/o metal tox

Version
1;0

Comment


Category
z'Nestlé Internal

Use Damage Assessment
No

Use Normalization
Yes

Use Weighting
Yes

Use Addition
Yes

Weighting unit
Pt

Impact category
Climate Change;kgCO2eq

Substances
Air;(unspecified);Hexane, perfluoro-;000355-42-0;9300;kg
Air;(unspecified);HFE-227EA;002356-62-9;1540;kg
Air;(unspecified);HFE-236ca12 (HG-10);078522-47-1;2800;kg
Air;(unspecified);HFE-263fb2;000460-43-5;11;kg
Air;(unspecified);HFE-329mcc2;067490-36-2;919;kg
Air;(unspecified);HFE-338mcf2;156053-88-2;552;kg
Air;(unspecified);HFE-338pcc13 (HG-01);188690-78-0;1500;kg
Air;(unspecified);HFE-43-10pccc124 (H-Galden1040x);;1870;kg
Air;(unspecified);Methane;000074-82-8;27.5;kg
Air;(unspecified);Methane, biogenic;000074-82-8;25;kg
Air;(unspecified);Methane, bromo-, Halon 1001;000074-83-9;5;kg
Air;(unspecified);Methane, bromochlorodifluoro-, Halon 1211;000353-59-3;1890;kg
Air;(unspecified);Methane, bromodifluoro-, Halon 1201;001511-62-2;404;kg
Air;(unspecified);Methane, bromotrifluoro-, Halon 1301;000075-63-8;7140;kg
Air;(unspecified);Methane, chlorodifluoro-, HCFC-22;000075-45-6;1810;kg
Air;(unspecified);Methane, chlorotrifluoro-, CFC-13;000075-72-9;14400;kg
Air;(unspecified);Methane, dibromo-;000074-95-3;1.54;kg
Air;(unspecified);Methane, dichloro-, HCC-30;000075-09-2;8.7;kg
Air;(unspecified);Methane, dichlorodifluoro-, CFC-12;000075-71-8;10900;kg
Air;(unspecified);Methane, dichlorofluoro-, HCFC-21;000075-43-4;151;kg
Air;(unspecified);Methane, difluoro-, HFC-32;000075-10-5;675;kg
Air;(unspecified);Methane, fluoro-, HFC-41;000593-53-3;92;kg
Air;(unspecified);Methane, fossil;000074-82-8;27.5;kg
Air;(unspecified);Methane, iodotrifluoro-;002314-97-8;0.4;kg
Air;(unspecified);Methane, monochloro-, R-40;000074-87-3;13;kg
Air;(unspecified);Methane, tetrachloro-, CFC-10;000056-23-5;1400;kg
Air;(unspecified);Methane, tetrafluoro-, CFC-14;000075-73-0;7390;kg
Air;(unspecified);Methane, trichlorofluoro-, CFC-11;000075-69-4;4750;kg
Air;(unspecified);Methane, trifluoro-, HFC-23;000075-46-7;14800;kg
Air;(unspecified);Nitrogen fluoride;007783-54-2;17200;kg
Air;(unspecified);Pentane, 2,3-dihydroperfluoro-, HFC-4310mee;138495-42-8;1640;kg
Air;(unspecified);Pentane, perfluoro-;000678-26-2;9160;kg
Air;(unspecified);PFC-9-1-18;;7500;kg
Air;(unspecified);PFPMIE;;10300;kg
Air;(unspecified);Propane, 1,1,1,2,2,3-hexafluoro-, HFC-236cb;000677-56-5;1340;kg
Air;(unspecified);Propane, 1,1,1,2,3,3-hexafluoro-, HFC-236ea;000431-63-0;1370;kg
Air;(unspecified);Propane, 1,1,1,2,3,3,3-heptafluoro-, HFC-227ea;000431-89-0;3220;kg
Air;(unspecified);Propane, 1,1,1,3,3-pentafluoro-, HFC-245fa;000460-73-1;1030;kg
Air;(unspecified);Propane, 1,1,1,3,3,3-hexafluoro-, HCFC-236fa;000690-39-1;9810;kg
Air;(unspecified);Propane, 1,1,2,2,3-pentafluoro-, HFC-245ca;000679-86-7;693;kg
Air;(unspecified);Propane, 1,3-dichloro-1,1,2,2,3-pentafluoro-, HCFC-225cb;000507-55-1;595;kg
Air;(unspecified);Propane, 3,3-dichloro-1,1,1,2,2-pentafluoro-, HCFC-225ca;000422-56-0;122;kg
Air;(unspecified);Propane, perfluoro-;000076-19-7;8830;kg
Air;(unspecified);Propane, perfluorocyclo-;;17340;kg
Air;(unspecified);Sulfur hexafluoride;002551-62-4;22800;kg
Air;(unspecified);Trifluoromethylsulfur pentafluoride;000373-80-8;17700;kg

Impact category
Water Consumption;m3

Substances
Raw;(unspecified);Water, lake;007732-18-5;1;m3
Raw;(unspecified);Water, river;007732-18-5;1;m3
Raw;(unspecified);Water, unspecified natural origin/kg;007732-18-5;0.001;kg
Raw;(unspecified);Water, unspecified natural origin/m3;007732-18-5;1;m3
Raw;(unspecified);Water, well, in ground;007732-18-5;1;m3

Impact category
Non-renewable resource depletion;kg Sb eq

Substances
Raw;(unspecified);Actinium;007440-34-8;6.33E13;kg
Raw;(unspecified);Aluminium;007429-90-5;1.00E-8;kg
Raw;(unspecified);Anhydrite;014798-04-0;8.42E-5;kg
Raw;(unspecified);Antimony;007440-36-0;1.00E0;kg
Raw;(unspecified);Argon;007440-37-1;4.71E-7;kg
Raw;(unspecified);Arsenic;007440-38-2;9.17E-3;kg
Raw;(unspecified);Barite;013462-86-7;4.91E-5;kg
Raw;(unspecified);Barium;007440-39-3;1.06E-10;kg
Raw;(unspecified);Bauxite;001318-16-7;2.10E-9;kg
Raw;(unspecified);Beryllium;007440-41-7;3.19E-5;kg
Raw;(unspecified);Bismuth;007440-69-9;7.31E-2;kg
Raw;(unspecified);Borax;071377-02-1;1.00E-3;kg
Raw;(unspecified);Boron;007440-42-8;4.67E-3;kg
Raw;(unspecified);Bromine;010097-32-2;6.67E-3;kg
Raw;(unspecified);Cadmium;007440-43-9;3.30E-1;kg
Raw;(unspecified);Calcite;013397-26-7;2.83E-10;kg
Raw;(unspecified);Calcium;007440-70-2;7.08E-10;kg
Raw;(unspecified);Cerium;007440-45-1;5.32E-9;kg
Raw;(unspecified);Cesium;007440-46-2;1.91E-5;kg
Raw;(unspecified);Chlorine;022537-15-1;4.86E-8;kg
Raw;(unspecified);Chromium;007440-47-3;8.58E-4;kg
Raw;(unspecified);Chromium ore;;2.58E-4;kg
Raw;(unspecified);Chrysotile;012001-29-5;9.88E-10;kg
Raw;(unspecified);Cinnabar;023333-45-1;4.27E-1;kg
Raw;(unspecified);Coal, 18 MJ per kg;;1.34E-2;kg
Raw;(unspecified);Coal, 26.4 MJ per kg;;1.34E-2;kg
Raw;(unspecified);Coal, 29.3 MJ per kg;;1.34E-2;kg
Raw;(unspecified);Coal, brown;;6.71E-3;kg
Raw;(unspecified);Coal, brown, 10 MJ per kg;;6.71E-3;kg
Raw;(unspecified);Coal, brown, 8 MJ per kg;;6.71E-3;kg
Raw;(unspecified);Coal, feedstock, 26.4 MJ per kg;;1.34E-2;kg
Raw;(unspecified);Coal, hard;;1.34E-2;kg
Raw;(unspecified);Cobalt;007440-48-4;2.62E-5;kg
Raw;(unspecified);Colemanite;001318-33-8;1.17E-4;kg
Raw;(unspecified);Copper;007440-50-8;1.94E-3;kg
Raw;(unspecified);Copper ore;;2.20E-5;kg
Raw;(unspecified);Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore;007440-50-8;1.94E-3;kg
Raw;(unspecified);Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore;007440-50-8;1.94E-3;kg
Raw;(unspecified);Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore;007440-50-8;1.94E-3;kg
Raw;(unspecified);Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore;007440-50-8;1.94E-3;kg
Raw;(unspecified);Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore;007440-50-8;1.94E-3;kg
Raw;(unspecified);Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore;007440-50-8;1.94E-3;kg
Raw;(unspecified);Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore;007440-50-8;1.94E-3;kg
Raw;(unspecified);Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore;007440-50-8;1.94E-3;kg
Raw;(unspecified);Copper, Cu 0.38%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Pb 0.014%, in ore;007440-50-8;0.00194;kg
Raw;(unspecified);Copper, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore;007440-50-8;1.94E-3;kg
Raw;(unspecified);Copper, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore;007440-50-8;1.94E-3;kg
Raw;(unspecified);Diatomite;068855-54-9;1.26E-11;kg
Raw;(unspecified);Dolomite;016389-88-1;1.40E-10;kg
Raw;(unspecified);Dysprosium;007429-91-6;2.13E-6;kg
Raw;(unspecified);Energy, from coal;;4.57E-4;MJ
Raw;(unspecified);Energy, from coal, brown;;6.71E-4;MJ
Raw;(unspecified);Energy, from gas, natural;;5.34E-4;MJ
Raw;(unspecified);Energy, from oil;;4.90E-4;MJ
Raw;(unspecified);Energy, from sulfur;;3.85E-5;MJ
Raw;(unspecified);Energy, from uranium;;6.36E-9;MJ
Raw;(unspecified);Erbium;007440-52-0;2.44E-6;kg
Raw;(unspecified);Europium;007440-53-1;1.33E-5;kg
Raw;(unspecified);Fluorine;014762-94-8;2.96E-6;kg
Raw;(unspecified);Fluorine, 4.5% in apatite, 3% in crude ore;007782-41-4;2.96E-6;kg
Raw;(unspecified);Fluorspar;014542-23-5;7.02E-7;kg
Raw;(unspecified);Gadolinium;007440-54-2;6.57E-7;kg
Raw;(unspecified);Gallium;007440-55-3;1.03E-7;kg
